policy_number,fraud_reported
698589,0.08986325780372215
287489,0.7298868609761386
211578,0.002805045201190706
807369,0.008534160324720494
830878,0.004742137559322708
265093,0.012992115432658524
760700,0.013546530918258632
447226,0.02128723347943575
695117,0.0011283184454408824
247116,0.0082043956548076
818167,0.017119803049463884
650026,0.002214167697297725
797634,0.5587294485512154
488724,0.008174086217177292
932502,0.0041252361112397145
155604,0.6701303616072105
505316,0.008312038571214184
774303,0.08818723667512732
390256,0.8208658133370429
700074,0.026698022113548263
903785,0.02156970210831889
620855,0.013439309148890027
219028,0.6745864344601814
913464,0.010812103370729947
398484,0.0038317507700975557
913337,0.7230660115344012
421940,0.007156651960381874
836272,0.0016688273103903904
215534,0.47980211470384804
205134,0.01569069690037734
538466,0.7778762694403403
918629,0.02041846017027795
804219,0.5804909444087912
606037,0.03329250510880606
113516,0.008409826307004856
434507,0.030768887443033945
212674,0.7366162849272259
607259,0.0030647147688414146
804751,0.005036629703163823
283052,0.050956251738457546
127754,0.8580295798556165
133889,0.009945088622415365
646069,0.0039896002778116646
448961,0.004174078827513144
319232,0.0772271886645807
411477,0.018635240458865075
154982,0.003768939228543035
139872,0.007419631925603994
146138,0.7824683992812753
645723,0.001625926848217349
649800,0.006109806468737886
379882,0.03760702057435288
253085,0.00400143403738278
283414,0.3238739710718243
500639,0.803709688977688
498759,0.010386311013394706
182953,0.0310123505364129
473338,0.35927564832653314
345539,0.02689138018783397
638155,0.92015893153366
793948,0.002773675616042467
586104,0.006802624341345692
230223,0.004872912898017516
287436,0.53115520323951
630998,0.008097295202773486
438817,0.013041766552517972
440616,0.5633429406310408
795004,0.8122839613642876
653864,0.022215501715960907
596785,0.012476193133520316
756054,0.0017121678167839223
930032,0.0100542389418161
666333,0.4355568131430352
386690,0.4699271304962487
961496,0.0007476336626286151
326180,0.004159838480284237
990493,0.00878057486635965
662088,0.004176814615300143
686522,0.7666509702461408
805806,0.020861946880882873
636550,0.025330688289162833
159768,0.0034595921432462686
605100,0.8951669176505579
369781,0.006681905294773588
944537,0.03104659907984659
648397,0.025121345437887365
868031,0.00567475110851951
247801,0.00766152887882166
830414,0.12554260166366876
155724,0.2206398672758668
681486,0.009330086007731105
516959,0.704340477269547
385932,0.9720634576694387
907113,0.00437361579837307
795847,0.004313396000859395
555374,0.01571116767356282
238412,0.20473949278970432
921202,0.002978251574797448
243226,0.45338904258605356
990998,0.004615791971870694
722747,0.019341375178824595
963761,0.6531401394487311
168260,0.0018110419722017854
842618,0.01463056384625939
657045,0.0017780570860230507
311783,0.5422465433068488
621756,0.2827529647642632
528385,0.6579628926852933
654974,0.024512251176475423
435784,0.023738308008819698
918037,0.004626059842145451
534982,0.008301990562472286
744557,0.009872348540913966
223404,0.003929479905932098
167231,0.001697406649634602
743163,0.25651985097204155
457188,0.8150289134724922
159243,0.0038441940767511575
889764,0.7116736214528232
299796,0.01915569309655301
543610,0.01603868022003336
553565,0.1187097856488442
182450,0.8581431827750157
616337,0.6267798284041162
842643,0.04133610546772386
586367,0.6083239898178397
776860,0.032494986093411
886473,0.004313003124734144
593466,0.5665207368783607
865607,0.0030763497925852586
687755,0.00943954180833369
432068,0.3950878142554843
167466,0.021418705494358592
920554,0.012052618578797018
801331,0.014459485212972679
218684,0.004094558975681608
544225,0.09448150896912606
521585,0.604521924047934
730819,0.7660294226714356
454086,0.024917975635717772
684193,0.09693157424313342
108270,0.007919142336484424
669809,0.2599806609077097
216738,0.26653500900489246
566720,0.6698405467427182
330591,0.9051325674272082
267885,0.05915560490223496
275092,0.004999188841362431
756981,0.09709254554372002
591269,0.007155203143355318
577992,0.003049386101908353
779075,0.3577091948902133
445973,0.9067742699932868
929306,0.48687103153355304
557218,0.0017465567763799924
482404,0.005012508432725915
920826,0.8361050264450863
613226,0.003008660913237755
550127,0.09299106173094204
154280,0.007259443769371496
143972,0.42118899099511625
910604,0.006688517388165944
465065,0.6983277008386886
463237,0.5795829433461996
965187,0.5401106408742967
689034,0.5808931356878547
608039,0.011194095398318962
153027,0.009359465441849808
630226,0.7692975116223332
246882,0.022627532635499308
427484,0.0027365056229201575
952300,0.009389698566849656
302669,0.48941682198354786
815883,0.592990153399246
307195,0.004725208719206642
475588,0.8149460213119705
863236,0.005658686959731169
806081,0.021803335944638458
429027,0.018377722148018173
342830,0.003484862194858602
395983,0.0024796019263682795
439828,0.016261333306057366
283925,0.00322562487674756
331170,0.0021492211706466433
553436,0.022732151395555084
378588,0.6564004162102559
500384,0.004827717706966231
227811,0.9657330843047015
178081,0.016914789211567298
193213,0.12275689277521906
512894,0.056654562299545894
343161,0.007038065899275028
803294,0.008367972851466763
922167,0.9075909295459799
253791,0.7278462277263591
489618,0.0025840841050864287
942504,0.017083284296812544
932097,0.02534040161967021
391003,0.0015241225017426161
378587,0.7051244284705946
941851,0.036050551812540896
394975,0.03290866454184395
187775,0.7573454702974972
322609,0.024931438109564014
275265,0.01696707173315284
935277,0.006063311936827077
674570,0.012449272574018242
984948,0.018858888178364872
824728,0.005300919633699127
717044,0.005392683332928166
248467,0.0033225175957511703
876714,0.007593756306407734
856153,0.00667801360374119
463727,0.006460637818538358
753844,0.21977435661924877
200827,0.02126035107384796
442494,0.3400772098141072
290971,0.0020798133193908695
482495,0.013089502083675408
871432,0.4205147076192558
360770,0.02600247619176903
238196,0.3190462631658487
106873,0.005211791908073747
627540,0.018431470724899753
527945,0.03194023059512009
873384,0.6279768744316877
898573,0.00508164564739757
427199,0.012232725124734561
261905,0.6792580197973641
593390,0.013578572633192884
369941,0.03017648748873309
204294,0.0107899253162194
469966,0.0038395375215040765
411289,0.016092203371833213
172307,0.7670025660453386
391652,0.9173117008952966
687698,0.00437549020137477
484200,0.006605480554032597
502634,0.0036056624033422753
171254,0.0047434585162303
979336,0.2648901400347151
175553,0.008381940412063676
134430,0.005570892787359885
736882,0.011876673584208824
426708,0.014863256932992272
872734,0.45609320549881466
626074,0.0033274919804026
840806,0.02080510992881198
810189,0.004518097767253634
272910,0.01359030117460282
506333,0.31302599126245095
431478,0.7305147904909267
279422,0.4599287291534101
525224,0.008537988701956411
725330,0.003619213858591601
227244,0.006445488575388019
524230,0.4198287014713736
663938,0.012660022669540864
457244,0.911118310009962
792673,0.0401451174910145
517240,0.6956992472768464
596914,0.004231091922814438
439844,0.44428735226602667
786957,0.0018865976603001857
936543,0.020524322831740688
844117,0.1560076738811546
623032,0.024994639012675283
485372,0.0078132333719083
419954,0.013668707977624494
259792,0.010886673493700334
718829,0.8858254401879962
965768,0.026359254979322615
398102,0.016546153172774802
651948,0.6428935196177883
217938,0.5571167508475359
439049,0.13472715346473546
976971,0.03438977755553367
356768,0.008113588662099916
442795,0.8253601845712591
116700,0.0017423247444802597
863749,0.03553053608191389
291902,0.05273673494513511
179538,0.016983674034007853
843227,0.4156672161187392
263108,0.5359581132558813
663190,0.00130953183770082
900628,0.4448865324778787
338070,0.0351326216409822
779156,0.5106396119467862
589094,0.7291799967939487
828890,0.03632130920962466
497929,0.7319101839599296
193442,0.24207407825868604
156694,0.013004214182248064
982678,0.44625195859210615
679370,0.0021218869962446483
272330,0.005440004811072008
315631,0.0011602553559157628
445195,0.013250563812303976
914815,0.009469352254618436
